Question,Prediction,Ground Truth
What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,President of the Actors' Fund of Canada,Chief of Protocol
Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,yes,no
"The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?",New York City,"Greenwich Village, New York City"
2014 S/S is the debut album of a South Korean boy group that was formed by who?,WINNER,YG Entertainment
The arena where the Lewiston Maineiacs played their home games can seat how many people?,"1,400","3,677 seated"
"Who is older, Annie Morton or Terry Richardson?",Annie Morton,Terry Richardson
Are Random House Tower and 888 7th Avenue both used for real estate?,yes,no
The football manager who recruited David Beckham managed Manchester United during what timeframe?,1903–1912,from 1986 to 2013
Brown State Fishing Lake is in a country that has a population of how many inhabitants ?,I don't know.,"9,984"
The Vermont Catamounts men's soccer team currently competes in a conference that was formerly known as what from 1988 to 1996?,ECAC Hockey,the North Atlantic Conference
Roger O. Egeberg was Assistant Secretary for Health and Scientific Affairs during the administration of a president that served during what years?,1981 to 1982,1969 until 1974
"Which writer was from England, Henry Roth or Robert Erskine Childers?",Robert Erskine Childers,Robert Erskine Childers DSC
Which other Mexican Formula One race car driver has held the podium besides the Force India driver born in 1990?,Sergio Pérez,Pedro Rodríguez
This singer of A Rather Blustery Day also voiced what hedgehog?,Dr. Robotnik,Sonic
"Aside from the Apple Remote, what other device can control the program Apple Remote was originally designed to interact with?",Siri Remote,keyboard function keys
What was the father of Kasper Schmeichel voted to be by the IFFHS in 1992?,Peter Schmeichel,World's Best Goalkeeper
Who was the writer of These Boots Are Made for Walkin' and who died in 2007?,Lee Hazlewood,Barton Lee Hazlewood
"The 2011–12 VCU Rams men's basketball team, led by third year head coach Shaka Smart, represented Virginia Commonwealth University which was founded in what year?",1984,1838
"Hayden is a singer-songwriter from Canada, but where does Buck-Tick hail from?","Thornhill, Ontario","Fujioka, Gunma"
Which  French ace pilot and adventurer fly L'Oiseau Blanc,Charles Nungesser,Charles Eugène
Are Freakonomics and In the Realm of the Hackers both American documentaries?,yes,no
Alexander Kerensky was defeated and destroyed by the Bolsheviks in the course of a civil war that ended when ?,Russian Soviet Federative Socialist Republic,October 1922
"The Livesey Hal War Memorial commemorates the fallen of which war, that had over 60 million casualties?",World War I and World War II,World War II
Are both Elko Regional Airport and Gerald R. Ford International Airport located in Michigan?,yes,no
Ralph Hefferline was a psychology professor at a university that is located in what city?,"Muncie, Indiana",New York City
Where is the company that Sachin Warrier worked for as a software engineer headquartered? ,Kochi,Mumbai
"A Japanese manga series based on a 16 year old high school student Ichitaka Seto, is written and illustrated by someone born in what year?",1980,1962
The battle in which Giuseppe Arimondi lost his life secured what for Ethiopia?,Ethiopian sovereignty,sovereignty
"A medieval fortress in Dirleton, East Lothian, Scotland borders on the south side of what coastal area?",Firth of Forth,Yellowcraig
Who is the writer of this song that was inspired by words on a tombstone and was the first track on the box set Back to Mono?,"Dan Truman, Sam Hogin and Jim McBride",Phil Spector
What type of forum did a former Soviet statesman initiate?,I don't know.,Organizations could come together to address global issues
Which year and which conference was the 14th season for this conference as part of the NCAA Division that the Colorado Buffaloes played in with a record of 2-6 in conference play?,2014,2009 Big 12 Conference
"In what city did the ""Prince of tenors"" star in a film based on an opera by Giacomo Puccini?",Turin,Rome
"Ellie Goulding worked with what other writers on her third studio album, Delirium?",Jonny Lattimer,"Max Martin, Savan Kotecha and Ilya Salmanzadeh"
Which Australian city founded in 1838 contains a boarding school opened by a Prime Minister of Australia and named after a school in London of the same name.,Adelaide,"Marion, South Australia"
D1NZ is a series based on what oversteering technique?,production car drifting,Drifting
who is younger Keith Bostic or Jerry Glanville ?,Jerry Glanville,Keith Bostic
"According to the 2001 census, what was the population of the city in which Kirton End is located?",273,"35,124"
Are both Cypress and Ajuga genera?,yes,no
What is the name of the executive producer of the film that has a score composed by Jerry Goldsmith?,John Howard Carpenter,Ronald Shusett
"Who was born earlier, Emma Bull or Virginia Woolf?",Virginia Woolf,Adeline Virginia Woolf
What WB supernatrual drama series was Jawbreaker star Rose Mcgowan best known for being in?,I don't know.,Charmed
